题号,科目,章节,题型,题目,选项A,选项B,选项C,选项D,选项E,正确答案
1,史课,1-12-14史课练习-张至顺,判断,道家和道教是一回事。（   ）,正确,错误,,,,false
2,史课,1-12-14史课练习-张至顺,单选,老道長張至順，他說道號叫（   ）。,米精子,米晶子,丘阳子,,,B
3,史课,1-12-14史课练习-张至顺,单选,老道長的著作叫（   ）,《炁体源流》,《玄隱遺密》,《醫學衷中參西錄》,,,A
4,史课,1-12-14史课练习-张至顺,单选,張至順道長（   ）字，可以讀懂徐老師的書。,认,写,识,,,C
5,史课,1-12-14史课练习-张至顺,填空,張至順道長生於（   ）年。,,,,,,1921
6,史课,1-12-14史课练习-张至顺,判断,中醫的很多理論是建立在道家自我修行、自我感覺的基礎上。（   ）,正确,错误,,,,true
7,史课,1-12-14史课练习-张至顺,单选,"《瀕湖脈學》的""瀕湖""是（   ）的一個號。",张仲景,华佗,李时珍,,,C
8,史课,1-12-14史课练习-张至顺,判断,唯心和唯物沒有明確的界限，有形的東西可以化解成無形，無形東西可凝聚成有形。當我們過度寄情於有形的物質、錢財的時候，我們的心血、心神、心氣都會耗光。（   ）,正确,错误,,,,true
9,史课,1-12-14史课练习-张至顺,单选,除了八部金剛長壽功以外，老道長傳授給我們，更多的是（   ）的那種感召和感動。,心灵层面,精神层面,物质层面,,,B
10,史课,1-12-14史课练习-张至顺,单选,道家的辟穀其實是一個用（   ）來壓迫（ ）的這麼一個訓練。,魄、魂,魂、魄,神、誌,,,B
11,史课,1-12-14史课练习-张至顺,多选,按照道家大五穀分類，以下哪些是土穀？（   ）,玉米 B土豆 C山药 D高粱 E莲子,,,,,ABC
12,史课,1-12-14史课练习-张至顺,填空,按照道家大五穀分類，以下哪些是木穀？（   ）,,,,,,ABD
13,史课,1-12-14史课练习-张至顺,多选,按照道家大五穀分類，以下哪些是火穀？（   ）,莲子 B水稻 C高粱 D麦子 E穀子,,,,,ABCDE
14,史课,1-15-18史课练习-周稔丰,判断,很多人不是被病毒和細菌殺死的，是沒有處理好人際關係，造成了自己情緒、情感的傷害，然後產生了一些心理問題，產生了一些生理的疾病。（   ）,正确,错误,,,,true
15,史课,1-15-18史课练习-周稔丰,填空,"中醫認識的很高級，在能量的背後還有東西。這就是我們講的""精氣神""的（   ）的概念。",,,,,,C
16,史课,1-15-18史课练习-周稔丰,填空,（   ）是心的募穴。 A巨闕 B膻中 C極泉,,,,,,A
17,史课,1-15-18史课练习-周稔丰,填空,《莊子》中提到的二禽戲指的是哪二禽？（   ）,,,,,,AC
18,史课,1-15-18史课练习-周稔丰,填空,最早提出五禽戲之名的典籍是（   ）？,,,,,,A
19,史课,1-15-18史课练习-周稔丰,单选,（   ）戲是補脾胃的？,熊,虎 C鸟,,,,A
20,史课,1-15-18史课练习-周稔丰,填空,（   ）戲是舒暢肝膽經的？ A 鹿 B 虎 C鸟,,,,,,A
21,史课,1-15-18史课练习-周稔丰,判断,氣的概念衹是一個溫度的高低，你說溫度高就有氣，溫度低了就沒氣。（   ）,正确,错误,,,,false
22,史课,1-15-18史课练习-周稔丰,单选,（   ）就是心經的搏動處，（ ）就是心包經的搏動處。,太淵，神門 B神門，大陵 C太淵，大陵,,,,,B
23,史课,1-15-18史课练习-周稔丰,多选,切不光是要切寸口脈，而且要去切身體上的（   ）,背俞穴,腹募穴,三部九侯的動脈點,,,ABC
24,史课,1-15-18史课练习-周稔丰,填空,正常人應該是發力的時候柔軟的（   ）變成（ ）,,,,,,A
25,史课,1-15-18史课练习-周稔丰,判断,中醫是以人治人，一定要把自己修煉的很健康、很有能量。然後用自個兒的氣給別人去把他的病邪趕走了。（   ）,正确,错误,,,,false
26,史课,1-15-18史课练习-周稔丰,判断,"""醫不叩門""就是說，如果離開病人的主動配合或者是發自內心的信任，醫生很難施展自己的功夫。（   ）",正确,错误,,,,true
27,史课,1-15-18史课练习-周稔丰,填空,"""聞""的背後有一種通感，聞其實是兩個：一個是（   ），一個是（   ） A 听觉 B嗅觉 C味觉",,,,,,A
28,史课,1-15-18史课练习-周稔丰,单选,（   ）往往是正邪交爭比較劇烈的時候，而且基本上是邪氣重,陽性反應點,中性反應點,陰性反應點,,,A
29,史课,1-15-18史课练习-周稔丰,判断,中醫是以人治人，一定要把自己修煉的很健康、很有能量。然後用自個兒的氣給別人去把他的病邪趕走了。（   ）,正确,错误,,,,false
30,史课,1-15-18史课练习-周稔丰,判断,"""醫不叩門""就是說，如果離開病人的主動配合或者是發自內心的信任，醫生很難施展自己的功夫。（   ）",正确,错误,,,,true
31,史课,1-15-18史课练习-周稔丰,单选,"""聞""的背後有一種通感，聞其實是兩個：一個是（   ），一個是（   ）",听觉,嗅觉 C味觉,,,,A
32,史课,1-15-18史课练习-周稔丰,判断,中性反應點需要借助于醫生的幫助、導引，把氣導引過來，然後把這個東西消滅掉。（   ）,正确,错误,,,,true
33,史课,1-15-18史课练习-周稔丰,多选,排病氣的幾個方法包含以下哪些？（   ）,给邪气以出路,开门 C以痛为愈,,,,AB
34,史课,1-15-18史课练习-周稔丰,填空,期門是肝的募穴，代表了肝氣聚集的地方，它的位置在第（   ）肋間隙。,,,,,,6
35,史课,1-15-18史课练习-周稔丰,填空,開臓門是要開（   ），開腑門是要開（ ）。,,,,,,B
36,史课,1-20-22史课练习-裴永清,单选,《傷寒論》中的小柴胡湯中的姜用的是（   ）,生姜,干姜 C炮姜,,,,A
37,史课,1-20-22史课练习-裴永清,多选,裴永清老師在給徐老師講治感冒時說，治療感冒除了診斷對，開方對，還需要注意（   ）。,服藥的方法,煎煮的方法,用藥的方法,,,AB
38,史课,1-20-22史课练习-裴永清,单选,裴老師使用（   ）系列的方剂治疗水气病,桂枝剂,柴胡剂,苓桂剂,,,C
39,史课,1-20-22史课练习-裴永清,填空,裴老師治療痰濕，或者是這種食積過重導致的哮喘，用的基本方是（   ）,,,,,,A
40,史课,1-20-22史课练习-裴永清,单选,主持編修《醫宗金鑒》的是（   ）,吳謙,吳鞠通,張仲景,,,A
41,史课,1-20-22史课练习-裴永清,单选,劉渡舟老師主持修訂了（   ），是在宋朝第一次官修傷寒論以後的第二次的整理。,伤寒论,醫宗金鑒,溫病條辨,,,A
42,史课,1-20-22史课练习-裴永清,单选,《溫病條辨》的作者是（   ）。,吳謙,吳鞠通 C張仲景,,,,B
